RECORD,BBLE,B,BLOCK,LOT,EASEMENT,OWNER,BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,EXT,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,STADDR,ZIP,EXMPTCL,BLDFRONT,BLDDEPTH,AVLAND2,AVTOT2,EXLAND2,EXTOT2,EXCD2,PERIOD,YEAR,VALTYPE,score1 rank,score2 rank,final
917942,4142600001,4,14260,1,,"LOGAN PROPERTY, INC.",T1,4,4910,0,,3.0,374019883.0,1792808947.0,4668308947.0,1792808947.0,4668308947.0,2198.0,154-68 BROOKVILLE BOULEVARD,11422.0,X4,0,0,1644454002.0,4501180002.0,1644454002.0,4501180002.0,,FINAL,2010/11,AC-TR,1046826.0,1046826.0,1046826.0
684704,4036590105,4,3659,105,,W RUFERT,V0,1B,2,2,,,0.0,0.0,0.0,0.0,0.0,,69 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1046825.0,1046825.0,1046825.0
1065870,5076440001,5,7644,1,,PEOPLE OF THE ST OF N,V0,1B,2891,1488,,,290174603.0,17410476.0,17410476.0,17410476.0,17410476.0,3390.0,HYLAN BOULEVARD,,X7,0,0,,,,,,FINAL,2010/11,AC-TR,1046824.0,1046824.0,1046824.0
1059883,5069770012E,5,6977,12,E,,Z7,4,5,5,,,0.0,0.0,0.0,0.0,0.0,,SAGONA COURT,,,0,0,,,,,,FINAL,2010/11,AC-TR,1046823.0,1046823.0,1046823.0
151044,2024930001,2,2493,1,,,Q6,4,798,611,,6.0,1663775000.0,78750000.0,748698750.0,78750000.0,748698750.0,2500.0,1 EAST 161 STREET,10451.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1046822.0,1046822.0,1046822.0
39770,1007980066,1,798,66,,GREENHORN DEVELOPMENT,D9,2,75,98,,13.0,10200000.0,1741500.0,4590000.0,0.0,0.0,,142 WEST 23 STREET,10011.0,,8,8,1741500.0,4525800.0,,,,FINAL,2010/11,AC-TR,1046821.0,1046821.0,1046821.0
116647,1015410021,1,1541,21,,MF ASSOCIATES OF NEW,D6,2,25,75,,35.0,161000000.0,19215000.0,72450000.0,0.0,0.0,,1849 2 AVENUE,10128.0,,70,456,19215000.0,66960000.0,,,,FINAL,2010/11,AC-TR,1046820.0,1046819.0,1046819.5
12076,1001790001,1,179,1,,15 WORTH STREET PROPE,G6,4,74,150,,1.0,2610000.0,1170000.0,1174500.0,0.0,0.0,,170 WEST BROADWAY,10013.0,,5,5,936900.0,941400.0,,,,FINAL,2010/11,AC-TR,1046819.0,1046820.0,1046819.5
33751,1006940042,1,694,42,,"GUIDARA, FRANK",D4,2,122,98,,15.0,14400000.0,540000.0,6480000.0,0.0,2466688.0,5110.0,520 WEST 23 STREET,10011.0,,8,10,540000.0,6003000.0,,2275888.0,,FINAL,2010/11,AC-TR,1046818.0,1046818.0,1046818.0
665158,4030720001,4,3072,1,,ST JOHNS CEMETERY,Z8,4,1412,2532,,1.0,29355000.0,13140000.0,13209750.0,13140000.0,13209750.0,1700.0,80-01A METROPOLITAN AVENUE,11379.0,X5,12,18,11745000.0,11807640.0,11745000.0,11807640.0,,FINAL,2010/11,AC-TR,1046817.0,1046817.0,1046817.0
252834,2059200130E,2,5920,130,E,,V9,4,6,6,,,0.0,0.0,0.0,0.0,0.0,,4510E DOUGLAS AVENUE,10471.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1046816.0,1046816.0,1046816.0
934793,4163500400,4,16350,400,,BREEZY POINT COOPERAT,A8,1D,2798,997,,1.0,273000000.0,10920000.0,16380000.0,768206.0,1133406.0,1010.0,217-02 BREEZY POINT BLVD,11697.0,,30,40,,,,,1015.0,FINAL,2010/11,AC-TR,1046815.0,1046815.0,1046815.0
330291,3019190001,3,1919,1,,PRATT INSTITUTE,W3,4,200,698,,4.0,13500000.0,1764000.0,6075000.0,1764000.0,6075000.0,1601.0,166 WILLOUGHBY AVENUE,11205.0,X7,6,8,1575000.0,5445000.0,1575000.0,5445000.0,,FINAL,2010/11,AC-TR,1046814.0,1046814.0,1046814.0
106681,1014530027,1,1453,27,,79TH REALTY LLC,D8,2,25,100,,44.0,114000000.0,33750000.0,51300000.0,0.0,0.0,,350 EAST 79 STREET,10075.0,,25,100,33750000.0,48959998.0,,,,FINAL,2010/11,AC-TR,1046813.0,1046813.0,1046813.0
33564,1006890017,1,689,17,,"HLP PROPERTIES, LLC",G6,4,380,184,,1.0,8005000.0,3600000.0,3602250.0,0.0,0.0,,501 WEST 17 STREET,10011.0,,8,12,2956545.0,2958795.0,,,,FINAL,2010/11,AC-TR,1046812.0,1046812.0,1046812.0
48221,1008850042,1,885,42,,H & P 29TH ST ASSOC,D6,2,148,120,,35.0,58000000.0,10125000.0,26100000.0,0.0,0.0,,155 EAST 29 STREET,10016.0,,20,24,10125000.0,25479000.0,,,,FINAL,2010/11,AC-TR,1046811.0,1046811.0,1046811.0
771150,4076320002,4,7632,2,,BELL PARK GARDENS,C6,2,1080,827,,2.0,29100000.0,5085000.0,13095000.0,2941161.0,2941161.0,1010.0,67-02 SPRINGFIELD BLVD,11364.0,,30,30,5085000.0,14184000.0,3069814.0,3069814.0,1015.0,FINAL,2010/11,AC-TR,1046810.0,1046810.0,1046810.0
752488,4067150002,4,6715,2,,PARKWAY VILLAGE EQUIT,C6,2,795,1376,,2.0,28500000.0,5265000.0,12825000.0,1125528.0,1125528.0,1010.0,81-26 150 STREET,11435.0,,30,30,5265000.0,14183000.0,1138265.0,1138265.0,1015.0,FINAL,2010/11,AC-TR,1046809.0,1046809.0,1046809.0
139726,1020440122,1,2044,122,,"BRADHURST EQUITIES, L",V1,4,4,5,,,0.0,0.0,0.0,0.0,0.0,,BRADHURST AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1046808.0,1046808.0,1046808.0
610682,4011940050,4,1194,50,,DEBORAH WILSON,V1,4,6,8,,,0.0,0.0,0.0,0.0,0.0,,BROADWAY,11377.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1046807.0,1046807.0,1046807.0
95995,1013530001,1,1353,1,,"BERGAMINI, JENNIFER",T9,4,197,378,,1.0,17354800.0,7785000.0,7809660.0,7785000.0,7809660.0,6200.0,724 1 AVENUE,10017.0,X4,15,20,6966000.0,6988050.0,6966000.0,6988050.0,,FINAL,2010/11,AC-TR,1046806.0,1046806.0,1046806.0
56136,1009950033,1,995,33,,ONE BRYANT PARK,O4,4,201,437,,55.0,1120000000.0,99000000.0,504000000.0,99000000.0,504000000.0,2500.0,1111 AVENUE OF THE AMER,10036.0,,0,0,87786900.0,557586900.0,87786900.0,557586900.0,,FINAL,2010/11,AC-TR,1046805.0,1046805.0,1046805.0
243059,2055060001,2,5506,1,,SILVER BEACH GARDENS,A8,1D,999,556,,1.0,55860000.0,1217059.0,2258636.0,403350.0,403350.0,1010.0,SILVER BEACH,10465.0,,16,30,,,,,1015.0,FINAL,2010/11,AC-TR,1046804.0,1046804.0,1046804.0
330292,3019190050,3,1919,50,,PRATT INSTITUTE,Z9,4,60,540,,1.0,1016250.0,454500.0,457313.0,454500.0,457313.0,1601.0,189 WILLOUGHBY AVENUE,11205.0,X7,3,5,406980.0,409490.0,406980.0,409490.0,,FINAL,2010/11,AC-TR,1046803.0,1046803.0,1046803.0
665157,4030710001,4,3071,1,,ST JOHNS CEMETERY,Z8,4,981,2663,,1.0,106100000.0,35010000.0,47745000.0,35010000.0,47745000.0,1700.0,80-01 METROPOLITAN AVENUE,11379.0,X5,40,25,31410000.0,44145000.0,31410000.0,44145000.0,,FINAL,2010/11,AC-TR,1046801.0,1046802.0,1046801.5
